0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:30 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:42 +0530] "GET /BootStramp1/Register.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:50 +0530] "GET /BootStramp1/Register.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:07 +0530] "GET /BootStramp1/Register.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:23 +0530] "GET /BootStramp1/first.html HTTP/1.1" 200 3503
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:26 +0530] "GET /BootStramp1/Register1.html HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:43 +0530] "GET /BootStramp1/first.html HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:43 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:45 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:45 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:29:02 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:29:03 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:29:10 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:30:08 +0530] "GET /BootStramp1/first.html HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:30:08 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:30:09 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:30:10 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:30:10 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:30:29 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:31:01 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:31:01 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:31:51 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:31:56 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:32:08 +0530] "GET /BootStramp1/register.html HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:39:41 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
